epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5884,1.84407,2.49738,1.63082,0.74775,0.19741,0.3654,0.15158,1.79593,2.80789,1.75213,0.000659794,0.000659794,0.000659794
2,105.681,1.82443,1.95449,1.66398,0.43394,0.4676,0.41728,0.18273,1.84005,1.93642,1.81233,0.00131333,0.00131333,0.00131333
3,156.648,1.86495,1.90926,1.72219,0.50919,0.44965,0.46223,0.2112,1.92295,2.09456,2.02158,0.00195366,0.00195366,0.00195366
4,248.078,1.83741,1.87435,1.70815,0.54398,0.47098,0.5072,0.23457,1.81634,2.00614,1.84144,0.0019406,0.0019406,0.0019406
5,350.454,1.79123,1.74235,1.65471,0.60681,0.55234,0.57256,0.2683,1.79292,1.72682,1.78701,0.0019208,0.0019208,0.0019208
6,414.83,1.74274,1.60728,1.62952,0.66491,0.58225,0.64155,0.31292,1.75716,1.497,1.79129,0.001901,0.001901,0.001901
7,473.022,1.71042,1.54925,1.62051,0.72946,0.56331,0.64461,0.29878,1.83991,1.52336,1.79357,0.0018812,0.0018812,0.0018812
8,548.992,1.68893,1.49356,1.59721,0.68026,0.60029,0.66145,0.33197,1.66961,1.52751,1.76506,0.0018614,0.0018614,0.0018614
9,670.781,1.67312,1.42425,1.58001,0.77949,0.65105,0.75115,0.38249,1.64159,1.26284,1.69095,0.0018416,0.0018416,0.0018416
10,719.595,1.63364,1.37636,1.55554,0.7201,0.58923,0.67651,0.3351,1.72276,1.43492,1.75445,0.0018218,0.0018218,0.0018218
11,770.988,1.62853,1.32987,1.56577,0.73623,0.64108,0.69298,0.33916,1.71587,1.35919,1.75637,0.001802,0.001802,0.001802
12,825.484,1.62489,1.31538,1.53663,0.80279,0.67398,0.77482,0.40056,1.59324,1.27012,1.65571,0.0017822,0.0017822,0.0017822
13,914.138,1.55722,1.2176,1.50791,0.79255,0.67099,0.76652,0.39882,1.63205,1.17487,1.69078,0.0017624,0.0017624,0.0017624
14,963.046,1.56925,1.21456,1.5046,0.80072,0.67298,0.77225,0.39812,1.62178,1.20893,1.66016,0.0017426,0.0017426,0.0017426
15,1018.6,1.52297,1.17838,1.48537,0.7436,0.63908,0.7284,0.37773,1.6667,1.23215,1.67877,0.0017228,0.0017228,0.0017228
16,1070.8,1.51703,1.1433,1.47664,0.78608,0.75174,0.82235,0.43116,1.57107,1.12922,1.66095,0.001703,0.001703,0.001703
17,1155.54,1.50278,1.12374,1.47235,0.79755,0.70289,0.80184,0.4352,1.5757,1.17944,1.66635,0.0016832,0.0016832,0.0016832
18,1230.9,1.4957,1.07666,1.46761,0.81622,0.72283,0.81551,0.42406,1.62747,1.0905,1.7003,0.0016634,0.0016634,0.0016634
19,1282.61,1.5064,1.07769,1.46502,0.80117,0.67498,0.79335,0.40554,1.66903,1.11546,1.74925,0.0016436,0.0016436,0.0016436
20,1336.26,1.44953,1.04485,1.44668,0.85035,0.70688,0.82602,0.45489,1.53709,1.04145,1.63948,0.0016238,0.0016238,0.0016238
21,1412.09,1.45417,1.04258,1.44685,0.83629,0.74866,0.84255,0.45239,1.58958,1.02383,1.69589,0.001604,0.001604,0.001604
22,1493.73,1.4312,1.0047,1.4311,0.85575,0.71087,0.83202,0.45539,1.5674,1.02908,1.66611,0.0015842,0.0015842,0.0015842
23,1544.87,1.41134,0.99864,1.42347,0.84413,0.72892,0.83308,0.4434,1.59044,1.00221,1.70483,0.0015644,0.0015644,0.0015644
24,1595.85,1.41115,0.95558,1.42046,0.83771,0.73579,0.83066,0.44003,1.61298,1.00109,1.74426,0.0015446,0.0015446,0.0015446
25,1671.24,1.38249,0.94556,1.40185,0.826,0.74676,0.84432,0.46238,1.54726,0.97594,1.66061,0.0015248,0.0015248,0.0015248
26,1719.28,1.37746,0.95629,1.39847,0.84999,0.78365,0.86136,0.46912,1.55393,0.96171,1.69387,0.001505,0.001505,0.001505
27,1770.4,1.35896,0.91931,1.39269,0.82415,0.7348,0.83177,0.44487,1.58312,1.0118,1.69464,0.0014852,0.0014852,0.0014852
28,1821.44,1.33656,0.87599,1.36914,0.82604,0.73579,0.82348,0.44738,1.57098,1.00647,1.67093,0.0014654,0.0014654,0.0014654
29,1887.86,1.31894,0.87088,1.36263,0.86527,0.77479,0.86285,0.46107,1.58735,0.9308,1.705,0.0014456,0.0014456,0.0014456
30,1978.86,1.33063,0.88756,1.37856,0.80436,0.78764,0.84757,0.45543,1.59411,0.94399,1.71163,0.0014258,0.0014258,0.0014258
31,2028.94,1.30431,0.84714,1.33957,0.85336,0.73684,0.84716,0.45128,1.6246,0.99833,1.75215,0.001406,0.001406,0.001406
32,2078.84,1.28912,0.84647,1.34257,0.8709,0.72582,0.84676,0.45042,1.62313,0.95684,1.73192,0.0013862,0.0013862,0.0013862
33,2152.69,1.28892,0.84184,1.34763,0.83613,0.76818,0.85772,0.46292,1.62074,0.92091,1.74655,0.0013664,0.0013664,0.0013664
34,2226.23,1.28602,0.82711,1.3414,0.8426,0.76856,0.84525,0.43966,1.65536,0.96807,1.75153,0.0013466,0.0013466,0.0013466
35,2276.3,1.25172,0.80654,1.31545,0.8708,0.78619,0.8809,0.48711,1.57532,0.89101,1.69874,0.0013268,0.0013268,0.0013268
36,2326.21,1.23797,0.79113,1.3132,0.85435,0.78369,0.87769,0.49669,1.52742,0.89152,1.6891,0.001307,0.001307,0.001307
37,2392.04,1.22662,0.78552,1.31036,0.85818,0.77826,0.87318,0.47476,1.5871,0.91754,1.70782,0.0012872,0.0012872,0.0012872
38,2467.92,1.21812,0.78056,1.30659,0.84254,0.73085,0.83161,0.45906,1.56772,0.99918,1.71813,0.0012674,0.0012674,0.0012674
39,2517.65,1.19886,0.73929,1.28771,0.87755,0.72165,0.84744,0.44893,1.64142,0.97114,1.7901,0.0012476,0.0012476,0.0012476
40,2568.18,1.17492,0.74176,1.27867,0.86713,0.78728,0.88332,0.48995,1.55473,0.86694,1.69309,0.0012278,0.0012278,0.0012278
41,2638.66,1.18417,0.73218,1.27089,0.87954,0.75773,0.86522,0.47061,1.61706,0.88009,1.73939,0.001208,0.001208,0.001208
42,2687.15,1.1678,0.72448,1.2684,0.88399,0.75274,0.86449,0.48042,1.56523,0.89927,1.71539,0.0011882,0.0011882,0.0011882
43,2737.16,1.14868,0.71482,1.25851,0.85979,0.77567,0.86677,0.47825,1.5996,0.92099,1.73412,0.0011684,0.0011684,0.0011684
44,2788.11,1.15867,0.708,1.26876,0.86943,0.75573,0.86095,0.48473,1.5815,0.92679,1.72739,0.0011486,0.0011486,0.0011486
45,2862.34,1.13544,0.69325,1.25331,0.86571,0.78465,0.88131,0.49055,1.56708,0.87289,1.71136,0.0011288,0.0011288,0.0011288
46,2911.29,1.11237,0.67404,1.22884,0.82281,0.7657,0.84794,0.467,1.60152,0.93614,1.75145,0.001109,0.001109,0.001109
47,2962.17,1.11573,0.66979,1.234,0.86293,0.78457,0.88058,0.4941,1.55647,0.89953,1.70422,0.0010892,0.0010892,0.0010892
48,3012.88,1.09169,0.66104,1.21244,0.86311,0.78577,0.86404,0.46542,1.63775,0.88234,1.81631,0.0010694,0.0010694,0.0010694
49,3095.46,1.08109,0.65755,1.22086,0.85631,0.78764,0.87196,0.47758,1.6038,0.89483,1.76029,0.0010496,0.0010496,0.0010496
50,3178.57,1.07691,0.65237,1.21409,0.88937,0.76944,0.87434,0.4886,1.57635,0.86025,1.73793,0.0010298,0.0010298,0.0010298
51,3228.52,1.05149,0.62973,1.19804,0.85584,0.79909,0.87335,0.48394,1.58663,0.8611,1.78215,0.00101,0.00101,0.00101
52,3279.54,1.06076,0.63371,1.20929,0.87888,0.78365,0.88046,0.48502,1.61114,0.87641,1.79267,0.0009902,0.0009902,0.0009902
53,3353.15,1.0357,0.62342,1.18884,0.90412,0.76151,0.87443,0.48775,1.59061,0.91458,1.77281,0.0009704,0.0009704,0.0009704
54,3401.44,1.01509,0.60416,1.17955,0.82129,0.80259,0.8629,0.47493,1.62251,0.91798,1.81229,0.0009506,0.0009506,0.0009506
55,3453.09,1.04073,0.61827,1.18618,0.84147,0.8016,0.87309,0.47085,1.63571,0.91741,1.8283,0.0009308,0.0009308,0.0009308
56,3505.17,1.00994,0.59911,1.17476,0.89117,0.77563,0.87405,0.48221,1.59385,0.89567,1.79998,0.000911,0.000911,0.000911
57,3589.37,1.02138,0.60475,1.18189,0.90276,0.76824,0.87059,0.4842,1.57726,0.86276,1.79013,0.0008912,0.0008912,0.0008912
58,3638.48,0.99438,0.59347,1.16933,0.84892,0.77667,0.86021,0.46948,1.63269,0.90573,1.83108,0.0008714,0.0008714,0.0008714
59,3689.3,0.96757,0.58566,1.15476,0.87916,0.78764,0.87904,0.48825,1.59497,0.85187,1.8183,0.0008516,0.0008516,0.0008516
60,3741.18,0.96478,0.57879,1.14424,0.88019,0.77667,0.88343,0.50193,1.55914,0.8596,1.78633,0.0008318,0.0008318,0.0008318
