epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.825,0.98224,4.26521,1.5585,0.02065,0.92225,0.23954,0.19481,0.84599,2.86952,1.46064,0.000109832,0.000109832,0.000109832
2,260.77,0.98498,3.42493,1.50238,0.23267,0.60526,0.42801,0.30407,1.18514,2.6699,1.91062,0.000216459,0.000216459,0.000216459
3,383.698,1.01584,3.04312,1.51203,0.24567,0.50571,0.41836,0.31899,0.96133,2.30834,1.68152,0.000318691,0.000318691,0.000318691
4,515.625,0.99195,2.74173,1.48887,0.46131,0.63255,0.62117,0.48467,0.94558,1.70676,1.56959,0.00031322,0.00031322,0.00031322
5,638.543,0.98003,2.50157,1.48336,0.50452,0.60806,0.67596,0.51907,0.9654,1.67391,1.61176,0.000306626,0.000306626,0.000306626
6,766.472,0.92069,2.24546,1.41417,0.59552,0.66433,0.73182,0.59983,0.81277,1.55796,1.40807,0.000300033,0.000300033,0.000300033
7,898.521,0.8849,2.09656,1.38776,0.53359,0.62762,0.71924,0.50371,1.17596,1.75274,1.83338,0.00029344,0.00029344,0.00029344
8,1025.46,0.87135,1.92959,1.36617,0.63912,0.69084,0.8103,0.59441,1.02269,1.38849,1.6556,0.000286846,0.000286846,0.000286846
9,1159.05,0.86291,1.85061,1.36464,0.71694,0.67342,0.78657,0.64102,0.79791,1.32702,1.37383,0.000280253,0.000280253,0.000280253
10,1293.73,0.85797,1.72698,1.35896,0.72134,0.76866,0.85184,0.69615,0.84027,1.10526,1.38888,0.000273659,0.000273659,0.000273659
11,1421.81,0.81018,1.56296,1.3082,0.77784,0.80041,0.89227,0.70207,0.95114,0.97243,1.54169,0.000267066,0.000267066,0.000267066
12,1554.14,0.79907,1.4948,1.30738,0.77567,0.79227,0.88075,0.72612,0.84535,0.97868,1.44317,0.000260473,0.000260473,0.000260473
13,1681.52,0.79286,1.45432,1.29466,0.79614,0.82599,0.90405,0.69284,0.98885,1.0168,1.58587,0.000253879,0.000253879,0.000253879
14,1807.48,0.76705,1.36213,1.28027,0.81285,0.80355,0.91548,0.69246,1.04414,0.92549,1.61938,0.000247286,0.000247286,0.000247286
15,1929.3,0.7673,1.32092,1.28247,0.83382,0.82386,0.91692,0.72889,0.89953,0.84168,1.47289,0.000240692,0.000240692,0.000240692
16,2056.25,0.77856,1.30619,1.28823,0.79123,0.80696,0.88792,0.68626,0.99275,0.88656,1.57384,0.000234099,0.000234099,0.000234099
17,2182.08,0.75626,1.2822,1.26155,0.81684,0.82734,0.9066,0.73329,0.86938,0.84775,1.46475,0.000227506,0.000227506,0.000227506
18,2306.07,0.7551,1.22688,1.27153,0.83289,0.83492,0.91067,0.71109,0.98386,0.85145,1.58206,0.000220912,0.000220912,0.000220912
19,2432.61,0.7248,1.15629,1.2326,0.87636,0.86657,0.94291,0.74916,0.89797,0.70771,1.44034,0.000214319,0.000214319,0.000214319
20,2559.18,0.73457,1.14336,1.23895,0.85174,0.85101,0.9303,0.78144,0.80442,0.67374,1.36868,0.000207725,0.000207725,0.000207725
21,2685.98,0.74195,1.10131,1.25319,0.8539,0.84164,0.92983,0.74296,0.86745,0.69576,1.4172,0.000201132,0.000201132,0.000201132
22,2811.99,0.68748,1.03851,1.21493,0.8381,0.8757,0.92815,0.75222,0.83329,0.68592,1.36481,0.000194539,0.000194539,0.000194539
23,2938.92,0.69248,1.02218,1.21596,0.90619,0.84811,0.94458,0.77513,0.81051,0.59992,1.36887,0.000187945,0.000187945,0.000187945
24,3065.77,0.67302,0.96513,1.19992,0.87799,0.86961,0.92122,0.74483,0.84404,0.69723,1.4326,0.000181352,0.000181352,0.000181352
25,3193.05,0.67072,0.95588,1.19531,0.92207,0.82587,0.94055,0.76674,0.83718,0.64219,1.42592,0.000174758,0.000174758,0.000174758
26,3318.2,0.66234,0.93191,1.19513,0.88691,0.87103,0.94549,0.75632,0.91478,0.68234,1.46748,0.000168165,0.000168165,0.000168165
27,3445.03,0.66065,0.92541,1.19294,0.94448,0.87478,0.95207,0.74484,0.95764,0.58146,1.57775,0.000161572,0.000161572,0.000161572
28,3572.49,0.65038,0.90036,1.18484,0.90887,0.84295,0.95086,0.78519,0.8209,0.57132,1.38515,0.000154978,0.000154978,0.000154978
29,3698.95,0.65471,0.85662,1.18261,0.86868,0.8302,0.91637,0.76058,0.774,0.70029,1.33479,0.000148385,0.000148385,0.000148385
30,3826.15,0.65183,0.85446,1.18434,0.91481,0.87203,0.95566,0.77161,0.85546,0.56841,1.42642,0.000141791,0.000141791,0.000141791
31,3950.77,0.64425,0.83121,1.17381,0.91127,0.85632,0.94427,0.78201,0.78791,0.53724,1.35503,0.000135198,0.000135198,0.000135198
32,4072.31,0.64299,0.81606,1.17297,0.90963,0.88003,0.94992,0.74582,0.94706,0.54556,1.54545,0.000128605,0.000128605,0.000128605
33,4193.65,0.62043,0.78472,1.15712,0.88677,0.91816,0.95482,0.74147,0.98465,0.51573,1.62555,0.000122011,0.000122011,0.000122011
34,4315.22,0.63661,0.79276,1.16479,0.92092,0.89147,0.95325,0.74312,0.96493,0.55908,1.57316,0.000115418,0.000115418,0.000115418
35,4436.81,0.62617,0.77933,1.16994,0.9124,0.88334,0.95326,0.75785,0.89922,0.51992,1.48223,0.000108824,0.000108824,0.000108824
36,4563.28,0.59641,0.7262,1.1498,0.91147,0.88868,0.95664,0.7869,0.80842,0.50352,1.37444,0.000102231,0.000102231,0.000102231
37,4685.68,0.60552,0.73997,1.14821,0.8926,0.89297,0.9571,0.78292,0.83597,0.55319,1.42085,9.56376e-05,9.56376e-05,9.56376e-05
38,4811.27,0.58433,0.68914,1.12594,0.89276,0.90507,0.95793,0.76592,0.86844,0.51116,1.49544,8.90442e-05,8.90442e-05,8.90442e-05
39,4938.2,0.58792,0.69648,1.14158,0.93827,0.89797,0.95569,0.76668,0.89829,0.51296,1.49301,8.24508e-05,8.24508e-05,8.24508e-05
40,5059.98,0.58528,0.6936,1.14088,0.93704,0.89963,0.96446,0.77774,0.85053,0.48629,1.43906,7.58574e-05,7.58574e-05,7.58574e-05
41,5186.78,0.42458,0.35819,1.05257,0.92078,0.89586,0.96598,0.77768,0.86933,0.52939,1.49078,6.9264e-05,6.9264e-05,6.9264e-05
42,5310.16,0.41463,0.33026,1.04245,0.92255,0.87337,0.94685,0.77897,0.77945,0.50878,1.33189,6.26706e-05,6.26706e-05,6.26706e-05
43,5436.15,0.39935,0.31268,1.0341,0.94577,0.87407,0.96512,0.79,0.81816,0.46797,1.41584,5.60772e-05,5.60772e-05,5.60772e-05
44,5561.79,0.39543,0.30493,1.03228,0.94937,0.89301,0.96594,0.79199,0.82383,0.47582,1.43263,4.94838e-05,4.94838e-05,4.94838e-05
45,5689.15,0.38302,0.29841,1.01371,0.9573,0.91273,0.96138,0.80211,0.74849,0.44876,1.33606,4.28904e-05,4.28904e-05,4.28904e-05
46,5822.47,0.37248,0.28385,1.00772,0.95373,0.9192,0.97321,0.79815,0.83309,0.43019,1.44109,3.6297e-05,3.6297e-05,3.6297e-05
47,5945.65,0.36297,0.27453,1.0013,0.95885,0.90829,0.9714,0.78604,0.86411,0.43405,1.49701,2.97036e-05,2.97036e-05,2.97036e-05
48,6075.44,0.35299,0.26858,0.9879,0.96273,0.91525,0.96998,0.81434,0.77095,0.42484,1.38353,2.31102e-05,2.31102e-05,2.31102e-05
49,6206.05,0.35149,0.26107,0.98254,0.95405,0.90197,0.96732,0.79545,0.8178,0.43955,1.44088,1.65168e-05,1.65168e-05,1.65168e-05
50,6332.91,0.34074,0.25731,0.97139,0.95172,0.90676,0.96745,0.79578,0.80267,0.44006,1.43058,9.9234e-06,9.9234e-06,9.9234e-06
